unique_id,lake,station_id,sample_number,lat,long,agency_code,method,date,count,life_stage,final_id,taxon_level,phylum,subphylum,class,subclass,order,suborder,family,subfamily,tribe,genus,species,picked,squares
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,1,"",dreissena_bugensis,spe,mollusca,"",bivalvia,heterodonta,veneroida,"",dreissenidae,"","",dreissena,dreissena_bugensis,7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,6,"",glyptotendipes,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,glyptotendipes,"",7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,20,"",paratendipes,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,paratendipes,"",7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,19,"",polypedilum,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,polypedilum,"",7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,30,"",rheotanytarsus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,tanytarsini,rheotanytarsus,"",7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,9,"",tanytarsus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,tanytarsini,tanytarsus,"",7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,3,"",chironomidae,fam,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,"","","","",7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,1,"",hydroptila,gen,arthropoda,hexapoda,insecta,pterygota,trichoptera,spicipalpia,hydroptilidae,hydroptilinae,hydroptilini,hydroptila,"",7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,1,"",orthotrichia,gen,arthropoda,hexapoda,insecta,pterygota,trichoptera,spicipalpia,hydroptilidae,hydroptilinae,orthotrichiini,orthotrichia,"",7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,9,"",gammarus,gen,arthropoda,crustacea,malacostraca,eumalacostraca,amphipoda,gammaridea,gammaridae,"","",gammarus,"",7,45
onon_16_2,onon,onon_16,2,43.103698,-76.2425,esf,kick net,6/26/2014,1,"",hyalella,gen,arthropoda,crustacea,malacostraca,eumalacostraca,amphipoda,gammaridea,hyalellidae,"","",hyalella,"",7,45
