unique_id,lake,station_id,sample_number,lat,long,agency_code,method,date,count,life_stage,final_id,taxon_level,phylum,subphylum,class,subclass,order,suborder,family,subfamily,tribe,genus,species,picked,squares
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,2,"",amnicola_grana,spe,mollusca,"",gastropoda,"",neotaenioglossa,"",hydrobiidae,"","",amnicola,amnicola_grana,9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,27,"",physa,gen,mollusca,"",gastropoda,"",basommatophora,"",physidae,"","",physa,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,1,"",gyraulus_parvus,spe,mollusca,"",gastropoda,"",basommatophora,"",planorbidae,"","",gyraulus,gyraulus_parvus,9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,2,"",helisoma_anceps,spe,mollusca,"",gastropoda,"",basommatophora,"",planorbidae,"","",helisoma,helisoma_anceps,9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,5,"",promenetus_exacuous,spe,mollusca,"",gastropoda,"",basommatophora,"",planorbidae,"","",promenetus,promenetus_exacuous,9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,1,"",valvata,gen,mollusca,"",gastropoda,"",heterostropha,"",valvatidae,"","",valvata,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,9,"",bezzia,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,ceratopogonidae,ceratopogoninae,palpomyiini,bezzia,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,2,"",mallochohelea,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,ceratopogonidae,ceratopogoninae,sphaeromiini,mallochohelea,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,5,"",chironomus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,chironomus,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,4,"",dicrotendipes,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,dicrotendipes,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,1,"",microtendipes,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,microtendipes,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,2,"",polypedilum,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,chironomini,polypedilum,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,1,"",pseudochironomus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,pseudochironomini,pseudochironomus,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,2,"",rheotanytarsus,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,chironominae,tanytarsini,rheotanytarsus,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,1,"",thienemanniella,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,orthocladiinae,"",thienemanniella,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,5,"",ablabesmyia,gen,arthropoda,hexapoda,insecta,pterygota,diptera,nematocera,chironomidae,tanypodinae,pentaneurini,ablabesmyia,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,1,"",callibaetis,gen,arthropoda,hexapoda,insecta,pterygota,ephemeroptera,pisciforma,baetidae,"","",callibaetis,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,1,"",caenis,gen,arthropoda,hexapoda,insecta,pterygota,ephemeroptera,furcatergalia,caenidae,caeninae,"",caenis,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,2,early instar,caenidae,fam,arthropoda,hexapoda,insecta,pterygota,ephemeroptera,furcatergalia,caenidae,"","","","",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,1,"",acentria,gen,arthropoda,hexapoda,insecta,pterygota,lepidoptera,"",crambidae,nymphulinae,acentropini,acentria,"",9,30
caz_1_2,caz,caz_1,2,42.9754753,-75.8810883,esf,kick net,7/1/2014,2,"",mystacides,gen,arthropoda,hexapoda,insecta,pterygota,trichoptera,integripalpia,leptoceridae,leptocerinae,mystacidini,mystacides,"",9,30
